Target,Solution
Amborella_trichopoda_NC_005086,Amb_tri
Illicium_oligandrum_NC_009600,Ill_oli
Schisandra_chinensis_KU362793,Sch_chi
Trithuria_filamentosa_KF696682,Tri_fil
Trithuria_inconspicua_NC_020372,Tri_inc
Brasenia_schreberi_NC_031343,Bra_sch
Cabomba_caroliniana_KT705317,Cab_car
Nuphar_advena_NC_008788,Nup_adv
Barclaya_longifolia_KY284156,Bar_lon
Nymphaea_alba_KU234277,Nym_alb_KU
Nymphaea_alba_NC_006050,Nym_alb_NC
Nymphaea_ampla_KU189255,Nym_amp
Nymphaea_jamesoniana_NC_031826,Nym_jam
Nymphaea_mexicana_NC_024542,Nym_mex
Victoria_cruziana_KY001813,Vic_cru

