Target,Solution
Amborella_trichopoda_NC_005086,Amborella_trichopoda_NC_005086
Amborella_trichocarpa_N116,Amborella_trichopoda_N116
Illicium_floridanum_117N,Illicium_floridanum_117N
Illicium_oligandrum_NC_009600,Illicium_oligandrum_NC_009600
Austrobaileya_scandens_115N,Austrobaileya_scandens_115N
Schisandra_rubriflora_151N,Schisandra_rubriflora_151N
Schisandra_chinensis_KU362793,Schisandra_chinensis_KU362793
Brasenia_schreberi_NY106_USA_Virginia,Brasenia_schreberi_NY106
Brasenia_schreberi_NY586_NC_031343_Genome,Brasenia_schreberi_NC_031343
Cabomba_caroliniana_NY112_USA_Virginia,Cabomba_caroliniana_NY112
Cabomba_caroliniana_NY112_KT705317_Genome,Cabomba_caroliniana_KT705317
Barclaya_longifolia_NY665_KY284156_Genome,Barclaya_longifolia_KY284156
Barclaya_longiflora_NY376,Barclaya_longiflora_NY376
Trithuria_filamentosa_KF696682_Genome,Trithuria_filamentosa_KF696682
Trithuria_inconspicua_NC_020372_Genome,Trithuria_inconspicua_NC_020372
Nuphar_japonica_NY400,Nuphar_japonica_NY400
Nuphar_lutea_NY107,Nuphar_lutea_NY107
Nuphar_pumila_GQ245150,Nuphar_pumila_GQ245150
Nuphar_polysepala_GQ245149,Nuphar_polysepala_GQ245149
Nuphar_advena_NC_008788_Genome,Nuphar_advena_NC_008788
Nuphar_advena_NY080,Nuphar_advena_NY080
Nuphar_advena_subsp_advena_USA_Virginia_NY108,Nuphar_advena_subsp_advena_NY108
Victoria_cruziana_NY316_KY001813_Genome,Victoria_cruziana_KY001813
Victoria_cruziana_NY316,Victoria_cruziana_NY316
Victoria_Longwood_Hybrid_NY378,Victoria_Longwood_Hybrid_NY378
Euryale_ferox_NY015,Euryale_ferox_NY015
Nymphaea_alba_NY592_KU234277_Genome,Nymphaea_alba_KU234277
Nymphaea_alba_NC_006050_Genome,Nymphaea_alba_NC_006050
Nymphaea_alba_NY056,Nymphaea_alba_NY056
Nymphaea_alba_NY061,Nymphaea_alba_NY061
Nymphaea_colchica_NY402,Nymphaea_colchica_NY402
Nymphaea_leibergii_NY267_Canada_Sas,Nymphaea_leibergii_NY267
Nymphaea_leibergii_NY440_Canada_Man,Nymphaea_leibergii_NY440
Nymphaea_leibergii_NY270_USA_Min,Nymphaea_leibergii_NY270
Nymphaea_leibergii_NY264_USA_Mai,Nymphaea_leibergii_NY264
Nymphaea_leibergii_NY506,Nymphaea_leibergii_NY506
Nymphaea_odorata_subsp_tuberosa_NY512_USA_Ver,Nymphaea_odorata_subsp_tuberosa_NY512
Nymphaea_odorata_NY508_USA_Ver,Nymphaea_odorata_NY508
Nymphaea_odorata_subsp_tuberosa_NY509_USA_Mai,Nymphaea_odorata_subsp_tuberosa_NY509
Nymphaea_odorata_subsp_tuberosa_NY513_USA_Mai,Nymphaea_odorata_subsp_tuberosa_NY513
Nymphaea_odorata_subsp_tuberosa_NY269_Canada_Man,Nymphaea_odorata_subsp_tuberosa_NY269
Nymphaea_odorata_subsp_tuberosa_NY511_Canada_Man,Nymphaea_odorata_subsp_tuberosa_NY511
Nymphaea_odorata_subsp_odorata_NY012_USA_Geo,Nymphaea_odorata_subsp_odorata_NY012
Nymphaea_odorata_subsp_odorata_NY033_USA_Flo,Nymphaea_odorata_subsp_odorata_NY033
Nymphaea_pygmaea_NY234,Nymphaea_pygmaea_NY234
Nymphaea_tetragona_NY514_Canada_Man,Nymphaea_tetragona_NY514
Nymphaea_tetragona_N265_Canada_Man,Nymphaea_tetragona_N265
Nymphaea_tetragona_NY060_Finland,Nymphaea_tetragona_NY060
Nymphaea_tetragona_NY572_Canada_BC,Nymphaea_tetragona_NY572
Nymphaea_vossiana_NY515_Canada_Sas,Nymphaea_vossiana_NY515
Nymphaea_vossiana_NY575_Canada_Man,Nymphaea_vossiana_NY575
Nymphaea_vossiana_NY268_Canada_Sas,Nymphaea_vossiana_NY268
Nymphaea_mexicana_NC_024542_Genome,Nymphaea_mexicana_NC_024542
Nymphaea_mexicana_NY069_USA_Flo,Nymphaea_mexicana_NY069
Nymphaea_mexicana_KN008_USA_Tex,Nymphaea_mexicana_KN008
Nymphaea_tenerinervia_NY140,Nymphaea_tenerinervia_NY140
Nymphaea_amazonum_NY428,Nymphaea_amazonum_NY428
Nymphaea_novogranatensis_NY021,Nymphaea_novogranatensis_NY021
Nymphaea_belophylla_NY027,Nymphaea_belophylla_NY027
Nymphaea_potamophila_NY389,Nymphaea_potamophila_NY389
Nymphaea_rudgeana_NY032,Nymphaea_rudgeana_NY032
Nymphaea_rudgeana_NY124,Nymphaea_rudgeana_NY124
Nymphaea_lingulata_NY029,Nymphaea_lingulata_NY029
Nymphaea_oxypetala_NY387,Nymphaea_oxypetala_NY387
Nymphaea_conardii_NY022,Nymphaea_conardii_NY022
Nymphaea_gardneriana_NY026,Nymphaea_gardneriana_NY026
Nymphaea_glandulifera_NY390,Nymphaea_glandulifera_NY390
Nymphaea_jamesoniana_NY072_USA_Flo_NC_031826_Genome,Nymphaea_jamesoniana_NC_031826
Nymphaea_jamesoniana_NY071_USA_Flo,Nymphaea_jamesoniana_NY071
Nymphaea_jamesoniana_NY098_Ecuador,Nymphaea_jamesoniana_NY098
Nymphaea_lotus_subsp_thermalis_NY003,Nymphaea_lotus_subsp_thermalis_NY003
Nymphaea_lotus_subsp_thermalis_NY105,Nymphaea_lotus_subsp_thermalis_NY105
Nymphaea_lotus_subsp_lotus_NY078,Nymphaea_lotus_subsp_lotus_NY078
Nymphaea_pubescens_NY406,Nymphaea_pubescens_NY406
Nymphaea_petersiana_NY058,Nymphaea_petersiana_NY058
Nymphaea_gracilis_NY025,Nymphaea_gracilis_NY025
Nymphaea_gracilis_NY429,Nymphaea_gracilis_NY429
Nymphaea_elegans_NY006,Nymphaea_elegans_NY006
Nymphaea_elegans_NY370,Nymphaea_elegans_NY370
Nymphaea_ampla_NY100,Nymphaea_ampla_NY100
Nymphaea_ampla_NY666_KU189255_Genome,Nymphaea_ampla_KU189255
Nymphaea_colorata_NY122,Nymphaea_colorata_NY122
Nymphaea_micrantha_NY563,Nymphaea_micrantha_NY563
Nymphaea_micrantha_NY562,Nymphaea_micrantha_NY562
Nymphaea_guinensis_NY555,Nymphaea_guinensis_NY555
Nymphaea_guinensis_NY559,Nymphaea_guinensis_NY559
Nymphaea_guinensis_NY557,Nymphaea_guinensis_NY557
Nymphaea_guinensis_NY564,Nymphaea_guinensis_NY564
Nymphaea_caerulea_NY113,Nymphaea_caerulea_NY113
Nymphaea_micrantha_NY007,Nymphaea_micrantha_NY007
Nymphaea_heudelotii_NY066,Nymphaea_heudelotii_NY066
Nymphaea_thermarum_NY065,Nymphaea_thermarum_NY065
Nympaea_ondinea_NY377,Nymphaea_ondinea_NY377
Nymphaea_hastifolia_NY134,Nymphaea_hastifolia_NY134
Nymphaea_violacea_NY110,Nymphaea_violacea_NY110
Nymphaea_elleniae_NY137,Nymphaea_elleniae_NY137
Nymphaea_elleniae_NY103,Nymphaea_elleniae_NY103
Nymphaea_macrosperma_NY127,Nymphaea_macrosperma_NY127
Nymphaea_gigantea_NY067,Nymphaea_gigantea_NY067
Nymphaea_gigantea_NY126,Nymphaea_gigantea_NY126
Nymphaea_atrans_NY102,Nymphaea_atrans_NY102
Nymphaea_immutabilis_NY121,Nymphaea_immutabilis_NY121
