Target,Solution
NC_005086,Amborella_trichopoda_NC_005086
N116,Amborella_N116_corr
117N,Illicium_flori_117N
NC_009600,Illicium_oligandrum_NC_009600
115N,Austrobaileya_scand_115N
151N,Schisandra_rubi_151N
KU362793,Schisandra_chinensis_KU362793
NY106,Brasenia_schreberi_NY106_USA_Virginia
NC_031343,Brasenia_schreberi_NY586_NC_031343_Genome
NY112,Cabomba_caroliniana_NY112_USA_Virginia
KT705317,Cabomba_caroliniana_NY112_KT705317_Genome
KY284156,Barclaya_longifolia_NY665_KY284156_Genome
NY376,Barclaya_longiflora_NY376
KF696682,Trithuria_filamentosa_KF696682_Genome
NC_020372,Trithuria_inconspicua_NC_020372_Genome
NY400,Nuphar_japonica_NY400
NY107,Nuphar_lutea_NY107
Npum_GB,Nuphar_pumila_GenBank
Npol_GB,Nuphar_polysepala_GenBank
NC_008788,Nuphar_advena_NC_008788_Genome
NY080,Nuphar_advena_NY080
NY108,Nuphar_advena_ssp_advena_USA_Virginia_NY108
KY001813,Victoria_cruziana_NY316_KY001813_Genome
NY316,Victoria_cruziana_NY316
NY378,Victoria_Longwood_Hybrid_NY378
NY015,Euryale_ferox_NY015
KU234277,Nymphaea_alba_NY666_KU234277_Genome
NC_006050,Nymphaea_alba_NC_006050_Genome
NY056,Nymphaea_alba_NY056
NY061,Nymphaea_alba_NY061
NY402,Nymphaea_colchica_NY402
NY267,Nymphaea_leibergii_NY267_Canada_Sas
NY440,Nymphaea_leibergii_NY440_Canada_Man
NY270,Nymphaea_leibergii_NY270_USA_Min
NY264,Nymphaea_leibergii_NY264_USA_Mai
NY506,Nymphaea_leibergii_NY506
NY512,Nymphaea_odorata_ssp_tuberosa_NY512_USA_Ver
NY508,Nymphaea_odorata_NY508_USA_Ver
NY509,Nymphaea_odorata_ssp_tuberosa_NY509_USA_Mai
NY513,Nymphaea_odorata_ssp_tuberosa_NY513_USA_Mai
NY269,Nymphaea_odorata_ssp_tuberosa_NY269_Canada_Man
NY511,Nymphaea_odorata_ssp_tuberosa_NY511_Canada_Man
NY012,Nymphaea_odorata_ssp_odorata_NY012_USA_Geo
NY033,Nymphaea_odorata_ssp_odorata_NY033_USA_Flo
NY234,Nymphaea_pygmaea_NY234
NY514,Nymphaea_tetragona_NY514_Canada_Man
N265,Nymphaea_tetragona_N265_Canada_Man
NY060,Nymphaea_tetragona_NY060_Finland
NY572,Nymphaea_tetragona_NY572_Canada_BC
NY515,Nymphaea_vossiana_NY515_Canada_Sas
NY575,Nymphaea_vossiana_NY575_Canada_Man
NY268,Nymphaea_vossiana_NY268_Canada_Sas
NC_024542,Nymphaea_mexicana_NC_024542_Genome
NY069,Nymphaea_mexicana_NY069_USA_Flo
KN008,Nymphaea_mexicana_KN008_USA_Tex
NY140,Nymphaea_tenerinervia_NY140
NY428,Nymphaea_amazonum_NY428
NY021,Nymphaea_novogranatensis_NY021
NY027,Nymphaea_belophylla_NY027
NY389,Nymphaea_potamophila_NY389
NY032,Nymphaea_rudgeana_NY032
NY124,Nymphaea_rudgeana_NY124
NY029,Nymphaea_lingulata_NY029
NY387,Nymphaea_oxypetala_NY387
NY022,Nymphaea_conardii_NY022
NY026,Nymphaea_gardneriana_NY026
NY390,Nymphaea_glandulifera_NY390
NC_031826,Nymphaea_jamesoniana_NY072_USA_Flo_NC_031826_Genome
NY071,Nymphaea_jamesoniana_NY071_USA_Flo
NY098,Nymphaea_jamesoniana_NY098_Ecuador
NY003,Nymphaea_lotus_ssp_thermalis_NY003
NY105,Nymphaea_lotus_ssp_thermalis_NY105
NY078,Nymphaea_lotus_ssp_lotus_NY078
NY406,Nymphaea_pubescens_NY406
NY058,Nymphaea_petersiana_NY058
NY025,Nymphaea_gracilis_NY025
NY429,Nymphaea_gracilis_NY429
NY006,Nymphaea_elegans_NY006
NY370,Nymphaea_elegans_NY370
NY100,Nymphaea_ampla_NY100
KU189255,Nymphaea_ampla_NY666_KU189255_Genome
NY122,Nymphaea_colorata_NY122
NY563,Nymphaea_micrantha_NY563
NY562,Nymphaea_micrantha_NY562
NY555,Nymphaea_guinensis_NY555
NY559,Nymphaea_guinensis_NY559
NY557,Nymphaea_guinensis_NY557
NY564,Nymphaea_guinensis_NY564
NY113,Nymphaea_caerulea_NY113
NY007,Nymphaea_micrantha_NY007
NY066,Nymphaea_heudelotii_NY066
NY065,Nymphaea_thermarum_NY065
NY377,Nympaea_ondinea_NY377
NY134,Nymphaea_hastifolia_NY134
NY110,Nymphaea_violacea_NY110
NY137,Nymphaea_elleniae_NY137
NY103,Nymphaea_elleniae_NY103
NY127,Nymphaea_macrosperma_NY127
NY067,Nymphaea_gigantea_NY067
NY126,Nymphaea_gigantea_NY126
NY102,Nymphaea_atrans_NY102
NY121,Nymphaea_immutabilis_NY121
